fid1,iid1,fid2,iid2,m,ibd0,ibd1,ibd2
AFWO3422,AFWO3422,AMAN030946,AMAN030946,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,AMAN030947,AMAN030947,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,AMAN030948,AMAN030948,20,1,0,0
AFWO3422,AFWO3422,AMAN030949,AMAN030949,20,1,0,0
AFWO3422,AFWO3422,AMAN030950,AMAN030950,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030951,AMAN030951,20,1,0,0
AFWO3422,AFWO3422,AMAN030952,AMAN030952,20,1,0,0
AFWO3422,AFWO3422,AMAN030953,AMAN030953,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,AMAN030956,AMAN030956,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030957,AMAN030957,20,1,0,0
AFWO3422,AFWO3422,AMAN030958,AMAN030958,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030960,AMAN030960,4.47393118833241,0.91,0.09,0
AFWO3422,AFWO3422,AMAN030961,AMAN030961,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,AMAN030964,AMAN030964,20,1,0,0
AFWO3422,AFWO3422,AMAN030966,AMAN030966,20,1,0,0
AFWO3422,AFWO3422,AMAN030967,AMAN030967,20,1,0,0
AFWO3422,AFWO3422,AMAN030968,AMAN030968,20,1,0,0
AFWO3422,AFWO3422,AMAN030969,AMAN030969,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030970,AMAN030970,20,1,0,0
AFWO3422,AFWO3422,AMAN030971,AMAN030971,20,1,0,0
AFWO3422,AFWO3422,AMAN030972,AMAN030972,20,1,0,0
AFWO3422,AFWO3422,AMAN030973,AMAN030973,20,1,0,0
AFWO3422,AFWO3422,AMAN030974,AMAN030974,20,1,0,0
AFWO3422,AFWO3422,AMAN030975,AMAN030975,20,1,0,0
AFWO3422,AFWO3422,AMAN030976,AMAN030976,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,AMAN030977,AMAN030977,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030978,AMAN030978,20,1,0,0
AFWO3422,AFWO3422,AMAN030979,AMAN030979,20,1,0,0
AFWO3422,AFWO3422,AMAN030980,AMAN030980,20,1,0,0
AFWO3422,AFWO3422,AMAN030981,AMAN030981,20,1,0,0
AFWO3422,AFWO3422,AMAN030983,AMAN030983,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030984,AMAN030984,20,1,0,0
AFWO3422,AFWO3422,AMAN030985,AMAN030985,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030986,AMAN030986,20,1,0,0
AFWO3422,AFWO3422,AMAN030987,AMAN030987,20,1,0,0
AFWO3422,AFWO3422,AMAN030988,AMAN030988,20,1,0,0
AFWO3422,AFWO3422,AMAN030989,AMAN030989,20,1,0,0
AFWO3422,AFWO3422,AMAN030990,AMAN030990,20,1,0,0
AFWO3422,AFWO3422,AMAN030991,AMAN030991,20,1,0,0
AFWO3422,AFWO3422,AMAN030992,AMAN030992,20,1,0,0
AFWO3422,AFWO3422,AMAN030993,AMAN030993,20,1,0,0
AFWO3422,AFWO3422,AMAN030994,AMAN030994,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030995,AMAN030995,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030996,AMAN030996,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030997,AMAN030997,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030998,AMAN030998,6.32192809488736,0.975,0.025,0
